m,n,k,Version0,Version1
16,16,16,1.065,1.033
20,20,20,1.053,1.028
24,24,24,0.995,1.059
28,28,28,1.064,0.851
32,32,32,1.066,1.100
36,36,36,1.063,1.066
40,40,40,1.067,1.081
44,44,44,1.063,1.136
48,48,48,1.056,1.140
52,52,52,1.046,1.084
56,56,56,0.988,1.158
60,60,60,1.033,1.031
64,64,64,1.053,1.145
68,68,68,1.042,1.167
72,72,72,1.056,1.034
76,76,76,1.051,1.030
80,80,80,1.075,1.183
84,84,84,1.053,0.693
88,88,88,1.059,1.078
92,92,92,1.074,1.140
96,96,96,1.076,1.074
100,100,100,1.073,1.072
104,104,104,1.078,1.102
108,108,108,0.755,0.803
112,112,112,1.068,1.190
116,116,116,1.069,1.119
120,120,120,1.089,1.072
124,124,124,1.064,1.106
128,128,128,1.049,1.198
132,132,132,1.075,1.051
136,136,136,1.069,1.070
140,140,140,1.078,1.186
144,144,144,1.073,1.161
148,148,148,1.084,1.059
152,152,152,1.084,1.090
156,156,156,1.093,1.089
160,160,160,1.104,1.144
164,164,164,1.088,1.104
168,168,168,1.094,1.120
172,172,172,1.092,1.091
176,176,176,1.090,1.136
180,180,180,1.093,1.115
184,184,184,1.084,1.129
188,188,188,1.086,1.147
192,192,192,1.070,1.094
196,196,196,1.084,1.139
